Id,ActivityDate,edit_TotalSteps,editRatio_tSteps_tDist,edit_TotalDistance,TrackerDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,edit_TotalMinutes,Calories
5577150313,4/5/2016,5206,"1,338","3,890","389,000,010,490,417",25,9,141,631,806,2755
5553957443,4/5/2016,4249,"1,534","2,770","276,999,998,092,651",0,0,224,651,875,1698
2026352035,4/5/2016,6564,"1,613","4,070","407,000,017,166,138",0,0,345,530,875,1658
8378563200,4/5/2016,7875,"1,262","6,240","623,999,977,111,816",19,10,167,680,876,3110
4020332650,4/5/2016,10252,"1,395","7,350","734,999,990,463,257",13,46,346,531,936,3879
4388161847,4/5/2016,12375,"1,300","9,520","952,000,045,776,367",35,21,251,632,939,3162
8792009665,4/5/2016,2283,"1,564","1,460","146,000,003,814,697",0,0,129,848,977,2067
6962181067,4/5/2016,10147,"1,512","6,710","671,000,003,814,697",15,36,284,683,1018,2086
4702921684,4/5/2016,8161,"1,233","6,620","661,999,988,555,908",4,15,251,757,1027,3004
7086361926,4/5/2016,10988,"1,322","8,310","83,100,004,196,167",45,12,135,843,1035,2655
4445114986,4/5/2016,2923,"1,491","1,960","196,000,003,814,697",0,0,180,897,1077,2070
3977333714,4/5/2016,13559,"1,436","9,440","94,399,995,803,833",14,96,142,852,1104,1628
6117666160,4/5/2016,2997,"1,326","2,260","225,999,999,046,326",0,0,156,1279,1435,1902
8877689391,4/5/2016,18193,"1,116","16,300","162,999,992,370,605",66,8,212,1154,1440,3477
8583815059,4/5/2016,3588,"1,281","2,800","279,999,995,231,628",0,0,0,1440,1440,2516
8053475328,4/5/2016,14581,"1,308","11,150","111,499,996,185,303",89,8,123,1220,1440,2918
6290855005,4/5/2016,5832,"1,322","4,410","440,999,984,741,211",0,0,272,1168,1440,2718
1644430081,4/5/2016,2309,"1,374","1,680","167,999,994,754,791",0,0,52,1388,1440,2222
2022484408,4/5/2016,11768,"1,420","8,290","828,999,996,185,303",36,27,272,1105,1440,2649
1927972279,4/5/2016,1786,"1,440","1,240","124,000,000,953,674",0,0,87,1353,1440,2338
2320127002,4/5/2016,12010,"1,483","8,100","810,000,002,384,186",0,0,52,1388,1440,1426
4319703577,4/5/2016,10429,"1,486","7,020","701,999,998,092,651",8,13,313,1106,1440,2282
2873212765,4/5/2016,8278,"1,489","5,560","555,999,994,277,954",0,0,420,1020,1440,2015
4558609924,4/5/2016,5232,"1,512","3,460","346,000,003,814,697",0,0,252,1188,1440,1842
1844505072,4/5/2016,2080,"1,518","1,370","137,000,000,476,837",0,0,87,1353,1440,1549
1624580081,4/5/2016,2193,"1,534","1,430","142,999,994,754,791",0,0,118,1322,1440,1368
1503960366,4/5/2016,11100,"1,552","7,150","715,000,009,536,743",36,22,203,1179,1440,1819
1927972279,4/12/2016,6780,"1,443","4,700","469,999,998,807,907",0,0,55,734,789,2220
2026352035,4/12/2016,4414,"1,611","2,740","274,000,000,953,674",3,8,181,706,898,1459
8792009665,4/12/2016,2564,"1,563","1,640","163,999,998,569,489",0,0,116,831,947,2044
8378563200,4/12/2016,7626,"1,260","6,050","605,000,019,073,486",65,15,156,723,959,3635
7086361926,4/12/2016,11317,"1,346","8,410","840,999,984,741,211",59,6,153,745,963,2772
5577150313,4/12/2016,8135,"1,338","6,080","607,999,992,370,605",86,16,140,728,970,3405
3977333714,4/12/2016,8856,"1,481","5,980","598,000,001,907,349",44,19,131,777,971,1450
4702921684,4/12/2016,7213,"1,227","5,880","588,000,011,444,092",0,0,263,718,981,2947
4445114986,4/12/2016,3276,"1,489","2,200","220,000,004,768,372",0,0,196,787,983,2113
6962181067,4/12/2016,10199,"1,513","6,740","673,999,977,111,816",50,14,189,796,1049,1994
4020332650,4/12/2016,8539,"1,395","6,120","611,999,988,555,908",4,15,331,712,1062,3654
5553957443,4/12/2016,11596,"1,532","7,570","757,000,017,166,138",19,13,277,767,1076,2026
1503960366,4/12/2016,13162,"1,548","8,500",8.5,25,13,328,728,1094,1985
2347167796,4/12/2016,10113,"1,481","6,830","682,999,992,370,605",28,13,320,964,1325,2344
8877689391,4/12/2016,23186,"1,137","20,400","203,999,996,185,303",85,7,312,1036,1440,3921
8253242879,4/12/2016,9033,"1,262","7,160","715,999,984,741,211",40,2,154,1244,1440,2044
8053475328,4/12/2016,18060,"1,279","14,120","141,199,998,855,591",116,8,123,1193,1440,3186
8583815059,4/12/2016,5014,"1,282","3,910","391,000,008,583,069",0,7,196,1237,1440,2650
4388161847,4/12/2016,10122,"1,301","7,780","778,000,020,980,835",0,0,0,1440,1440,2955
6290855005,4/12/2016,4562,"1,322","3,450","345,000,004,768,372",0,0,199,1241,1440,2560
4057192912,4/12/2016,5394,"1,338","4,030","403,000,020,980,835",0,0,164,1276,1440,2286
1644430081,4/12/2016,10694,"1,376","7,770","776,999,998,092,651",2,51,256,1131,1440,3199
7007744171,4/12/2016,14172,"1,377","10,290","947,999,954,223,633",53,8,355,1024,1440,2937
2022484408,4/12/2016,11875,"1,424","8,340","834,000,015,258,789",42,14,227,1157,1440,2390
2320127002,4/12/2016,10725,"1,432","7,490","748,999,977,111,816",13,9,306,1112,1440,2124
3372868164,4/12/2016,4747,"1,465","3,240","324,000,000,953,674",0,0,280,1160,1440,1788
2873212765,4/12/2016,8796,"1,488","5,910","590,999,984,741,211",2,21,356,1061,1440,1982
4319703577,4/12/2016,7753,"1,491","5,200","519,999,980,926,514",0,0,0,1440,1440,2115
1844505072,4/12/2016,6697,"1,512","4,430","442,999,982,833,862",0,0,339,1101,1440,2030
4558609924,4/12/2016,5135,"1,515","3,390","339,000,010,490,417",0,0,318,1122,1440,1909
1624580081,4/12/2016,8163,"1,537","5,310","530,999,994,277,954",0,0,146,1294,1440,1432
6962181067,4/13/2016,5652,"1,511","3,740","374,000,000,953,674",8,24,142,548,722,1718
