Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4445114986,4/5/2016,2,337.00,363
2026352035,4/5/2016,1,538.00,560
3977333714,4/5/2016,1,213.00,336
4020332650,4/5/2016,1,478.00,536
4388161847,4/5/2016,1,390.00,414
4702921684,4/5/2016,1,412.00,434
5553957443,4/5/2016,1,447.00,470
5577150313,4/5/2016,1,603.00,634
6962181067,4/5/2016,1,442.00,455
7086361926,4/5/2016,1,420.00,436
8378563200,4/5/2016,1,441.00,477
8792009665,4/5/2016,1,439.00,463
1927972279,4/12/2016,3,750.00,775
4445114986,4/12/2016,2,429.00,457
1503960366,4/12/2016,1,327.00,346
2026352035,4/12/2016,1,503.00,546
3977333714,4/12/2016,1,274.00,469
4020332650,4/12/2016,1,501.00,541
4702921684,4/12/2016,1,425.00,439
5553957443,4/12/2016,1,441.00,464
5577150313,4/12/2016,1,419.00,438
6962181067,4/12/2016,1,366.00,387
7086361926,4/12/2016,1,514.00,525
8378563200,4/12/2016,1,338.00,356
8792009665,4/12/2016,1,458.00,493
6962181067,4/13/2016,3,630.00,679
1503960366,4/13/2016,2,384.00,407
3977333714,4/13/2016,2,295.00,456
4445114986,4/13/2016,2,370.00,406
4702921684,4/13/2016,2,400.00,430
5553957443,4/13/2016,2,455.00,488
8378563200,4/13/2016,2,447.00,487
1927972279,4/13/2016,1,398.00,422
2026352035,4/13/2016,1,531.00,565
2347167796,4/13/2016,1,467.00,531
5577150313,4/13/2016,1,432.00,458
6775888955,4/13/2016,1,235.00,260
7086361926,4/13/2016,1,451.00,465
8792009665,4/13/2016,1,531.00,552
6962181067,4/14/2016,2,508.00,535
2026352035,4/14/2016,1,545.00,568
2347167796,4/14/2016,1,445.00,489
3977333714,4/14/2016,1,291.00,397
4319703577,4/14/2016,1,535.00,557
4445114986,4/14/2016,1,441.00,492
4702921684,4/14/2016,1,384.00,415
5553957443,4/14/2016,1,357.00,418
5577150313,4/14/2016,1,477.00,497
6775888955,4/14/2016,1,423.00,441
7086361926,4/14/2016,1,472.00,476
8378563200,4/14/2016,1,424.00,455
8792009665,4/14/2016,1,486.00,503
1927972279,4/15/2016,2,475.00,499
4445114986,4/15/2016,2,337.00,379
1503960366,4/15/2016,1,412.00,442
1844505072,4/15/2016,1,644.00,961
2026352035,4/15/2016,1,523.00,573
2347167796,4/15/2016,1,452.00,504
3977333714,4/15/2016,1,424.00,556
4319703577,4/15/2016,1,465.00,491
4388161847,4/15/2016,1,499.00,526
4702921684,4/15/2016,1,253.00,257
5553957443,4/15/2016,1,377.00,409
