Id,Date,DayTime,Orig_KG,edit_WeightKG,Orig_Pounds,edit_WeightPounds,Fat,orig_BMI,edit_BMI,IsManualReport,LogId
6962181067,4/12/2016,23:59:59,625000000000001,62.50,137788913865625,137.79,,"243,899,993,896,484 ",24.39,TRUE,1460505599000
8877689391,4/12/2016,06:47:11,858000030517578,85.80,189156627682704,189.16,,"256,800,003,051,758 ",25.68,FALSE,1460443631000
6962181067,5/10/2016,23:59:59,620999984741211,62.10,136907061452898,136.91,,"242,399,997,711,182 ",24.24,TRUE,1462924799000
4558609924,5/9/2016,23:59:59,690999984741211,69.10,152339419805848,152.34,,"270,000,000,000,000 ",27.00,TRUE,1462838399000
6962181067,5/9/2016,23:59:59,624000015258789,62.40,137568454967427,137.57,,"243,500,003,814,697 ",24.35,TRUE,1462838399000
8877689391,5/9/2016,06:39:44,855000000000001,85.50,188495234168175,188.50,,"256,100,006,103,516 ",25.61,FALSE,1462775984000
6962181067,5/8/2016,23:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1462751999000
8877689391,5/8/2016,07:35:53,854000015258789,85.40,188274775269977,188.27,,"255,599,994,659,424 ",25.56,FALSE,1462692953000
6962181067,5/7/2016,23:59:59,612000007629395,61.20,134922906139214,134.92,,"238,899,993,896,484 ",23.89,TRUE,1462665599000
6962181067,5/6/2016,23:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1462579199000
8877689391,5/6/2016,06:43:35,850000000000001,85.00,187392922857250,187.39,,"254,400,005,340,576 ",25.44,FALSE,1462517015000
6962181067,5/5/2016,23:59:59,612999992370605,61.30,135143365037411,135.14,,"239,300,003,051,758 ",23.93,TRUE,1462492799000
1503960366,5/3/2016,23:59:59,525999984741211,52.60,115963146545323,115.96,,"226,499,996,185,303 ",22.65,TRUE,1462319999000
6962181067,5/3/2016,23:59:59,615000000000001,61.50,134481979932850,134.48,,"238,199,996,948,242 ",23.82,TRUE,1462319999000
8877689391,5/3/2016,06:49:41,849000015258789,84.90,187172463959052,187.17,,"254,099,998,474,121 ",25.41,FALSE,1462258181000
1503960366,5/2/2016,23:59:59,525999984741211,52.60,115963146545323,115.96,22,"226,499,996,185,303 ",22.65,TRUE,1462233599000
4558609924,5/2/2016,23:59:59,691999969482422,69.20,152559878704046,152.56,,"270,400,009,155,273 ",27.04,TRUE,1462233599000
6962181067,5/2/2016,23:59:59,615000000000001,61.50,135584291243775,135.58,,"240,000,000,000,000 ",24.00,TRUE,1462233599000
